user_id,top_genre,top_genre_plays,total_plays,loyalty_score
user_1,Hip-Hop,19,55,0.34545454545454546
user_10,Classical,15,54,0.2777777777777778
user_100,Hip-Hop,16,52,0.3076923076923077
user_11,Pop,14,48,0.2916666666666667
user_12,Classical,18,49,0.3673469387755102
user_13,Classical,17,56,0.30357142857142855
user_14,Hip-Hop,16,43,0.37209302325581395
user_15,Classical,16,56,0.2857142857142857
user_16,Classical,16,52,0.3076923076923077
user_17,Rock,13,52,0.25
user_18,Classical,14,47,0.2978723404255319
user_19,Rock,19,59,0.3220338983050847
user_2,Rock,18,55,0.32727272727272727
user_20,Classical,13,44,0.29545454545454547
user_21,Classical,13,37,0.35135135135135137
user_22,Classical,12,40,0.3
user_23,Rock,14,56,0.25
user_24,Classical,18,48,0.375
user_25,Hip-Hop,13,49,0.2653061224489796
user_26,Classical,12,46,0.2608695652173913
user_27,Rock,11,54,0.2037037037037037
user_28,Rock,14,62,0.22580645161290322
user_29,Classical,17,55,0.3090909090909091
user_3,Classical,14,59,0.23728813559322035
user_30,Rock,17,52,0.3269230769230769
user_31,Rock,14,59,0.23728813559322035
user_32,Hip-Hop,19,52,0.36538461538461536
user_33,Classical,14,51,0.27450980392156865
user_34,Classical,10,34,0.29411764705882354
user_35,Pop,16,53,0.3018867924528302
user_36,Hip-Hop,14,45,0.3111111111111111
user_37,Classical,13,49,0.2653061224489796
user_38,Hip-Hop,15,54,0.2777777777777778
user_39,Rock,15,53,0.2830188679245283
user_4,Classical,15,46,0.32608695652173914
user_40,Classical,18,59,0.3050847457627119
user_41,Rock,16,53,0.3018867924528302
user_42,Classical,15,48,0.3125
user_43,Rock,12,40,0.3
user_44,Classical,12,49,0.24489795918367346
user_45,Classical,20,56,0.35714285714285715
user_46,Classical,16,61,0.26229508196721313
user_47,Rock,13,50,0.26
user_48,Classical,9,31,0.2903225806451613
user_49,Hip-Hop,14,45,0.3111111111111111
user_5,Rock,13,46,0.2826086956521739
user_50,Rock,15,42,0.35714285714285715
user_51,Rock,18,55,0.32727272727272727
user_52,Classical,11,43,0.2558139534883721
user_53,Hip-Hop,15,49,0.30612244897959184
user_54,Hip-Hop,13,50,0.26
user_55,Hip-Hop,12,46,0.2608695652173913
user_56,Hip-Hop,16,59,0.2711864406779661
user_57,Pop,16,54,0.2962962962962963
user_58,Hip-Hop,13,46,0.2826086956521739
user_59,Rock,15,66,0.22727272727272727
user_6,Pop,12,50,0.24
user_60,Classical,21,56,0.375
user_61,Hip-Hop,13,34,0.38235294117647056
user_62,Rock,16,65,0.24615384615384617
user_63,Classical,17,58,0.29310344827586204
user_64,Rock,11,39,0.28205128205128205
user_65,Rock,11,46,0.2391304347826087
user_66,Classical,11,36,0.3055555555555556
user_67,Classical,13,46,0.2826086956521739
user_68,Pop,11,40,0.275
user_69,Hip-Hop,18,59,0.3050847457627119
user_7,Classical,17,51,0.3333333333333333
user_70,Classical,14,48,0.2916666666666667
user_71,Rock,24,52,0.46153846153846156
user_72,Hip-Hop,11,43,0.2558139534883721
user_73,Classical,18,50,0.36
user_74,Classical,19,60,0.31666666666666665
user_75,Classical,16,46,0.34782608695652173
user_76,Hip-Hop,11,46,0.2391304347826087
user_77,Classical,13,45,0.28888888888888886
user_78,Rock,17,54,0.3148148148148148
user_79,Rock,14,46,0.30434782608695654
user_8,Rock,11,39,0.28205128205128205
user_80,Pop,17,57,0.2982456140350877
user_81,Classical,15,55,0.2727272727272727
user_82,Hip-Hop,11,43,0.2558139534883721
user_83,Rock,15,48,0.3125
user_84,Hip-Hop,15,44,0.3409090909090909
user_85,Pop,17,53,0.32075471698113206
user_86,Classical,14,55,0.2545454545454545
user_87,Hip-Hop,12,50,0.24
user_88,Pop,14,46,0.30434782608695654
user_89,Classical,17,63,0.2698412698412698
user_9,Hip-Hop,16,51,0.3137254901960784
user_90,Pop,16,46,0.34782608695652173
user_91,Jazz,13,55,0.23636363636363636
user_92,Rock,12,42,0.2857142857142857
user_93,Classical,13,41,0.3170731707317073
user_94,Jazz,17,57,0.2982456140350877
user_95,Rock,16,59,0.2711864406779661
user_96,Rock,13,48,0.2708333333333333
user_97,Hip-Hop,16,55,0.2909090909090909
user_98,Classical,15,54,0.2777777777777778
user_99,Hip-Hop,13,45,0.28888888888888886
