user_id,genre,plays
user_1,Hip-Hop,17
user_10,Jazz,12
user_100,Hip-Hop,18
user_11,Jazz,17
user_12,Hip-Hop,15
user_13,Jazz,20
user_14,Jazz,18
user_15,Jazz,16
user_16,Jazz,13
user_17,Pop,13
user_18,Classical,14
user_19,Jazz,19
user_2,Jazz,13
user_20,Hip-Hop,19
user_21,Hip-Hop,13
user_22,Jazz,16
user_23,Hip-Hop,20
user_24,Jazz,21
user_25,Hip-Hop,13
user_26,Hip-Hop,18
user_27,Hip-Hop,12
user_28,Hip-Hop,21
user_29,Pop,12
user_3,Hip-Hop,16
user_30,Jazz,18
user_31,Jazz,19
user_32,Jazz,14
user_33,Jazz,16
user_34,Jazz,17
user_35,Hip-Hop,15
user_36,Hip-Hop,19
user_37,Hip-Hop,12
user_38,Jazz,15
user_39,Hip-Hop,15
user_4,Jazz,17
user_40,Jazz,17
user_41,Jazz,14
user_42,Pop,9
user_43,Rock,12
user_44,Hip-Hop,11
user_45,Jazz,11
user_46,Jazz,15
user_47,Rock,12
user_48,Hip-Hop,18
user_49,Classical,14
user_5,Hip-Hop,17
user_50,Jazz,20
user_51,Hip-Hop,17
user_52,Jazz,18
user_53,Hip-Hop,15
user_54,Jazz,15
user_55,Jazz,15
user_56,Jazz,21
user_57,Jazz,17
user_58,Jazz,19
user_59,Jazz,19
user_6,Jazz,20
user_60,Hip-Hop,15
user_61,Jazz,18
user_62,Jazz,14
user_63,Jazz,16
user_64,Jazz,23
user_65,Rock,13
user_66,Jazz,13
user_67,Rock,13
user_68,Jazz,13
user_69,Jazz,19
user_7,Hip-Hop,12
user_70,Classical,18
user_71,Hip-Hop,12
user_72,Jazz,13
user_73,Jazz,19
user_74,Hip-Hop,19
user_75,Hip-Hop,16
user_76,Jazz,13
user_77,Jazz,19
user_78,Rock,12
user_79,Jazz,12
user_8,Jazz,14
user_80,Jazz,15
user_81,Hip-Hop,15
user_82,Jazz,18
user_83,Hip-Hop,12
user_84,Hip-Hop,19
user_85,Hip-Hop,20
user_86,Hip-Hop,24
user_87,Hip-Hop,14
user_88,Jazz,13
user_89,Jazz,18
user_9,Hip-Hop,18
user_90,Jazz,15
user_91,Jazz,15
user_92,Hip-Hop,20
user_93,Classical,15
user_94,Jazz,20
user_95,Hip-Hop,22
user_96,Hip-Hop,13
user_97,Jazz,9
user_98,Rock,18
user_99,Hip-Hop,20
